year,cases,rate_per_100k,disease
1924,820.0,9.71,influenza
1925,1746.0,20.32,influenza
1926,3510.0,40.13,influenza
1927,1221.0,13.71,influenza
1928,15551.0,171.34,influenza
1929,13149.0,140.9,influenza
1930,2364.0,24.92,influenza
1931,3276.0,31.61,influenza
1932,13115.0,124.95,influenza
1933,8184.0,77.07,influenza
1934,1902.0,17.73,influenza
1935,6054.0,55.91,influenza
1936,6796.0,62.15,influenza
1937,64429.0,584.18,influenza
1938,2226.0,19.99,influenza
1939,18395.0,163.51,influenza
1940,13704.0,120.59,influenza
1941,9656.0,84.04,influenza
1942,3397.0,29.19,influenza
1943,16839.0,142.97,influenza
1944,12513.0,104.9,influenza
1945,4591.0,38.08,influenza
1946,7777.0,63.39,influenza
1947,6170.0,49.25,influenza
1948,4000.0,31.25,influenza
1949,3160.0,25.92,influenza
1950,4225.0,34.01,influenza
1951,47292.0,362.54,influenza
1952,8002.0,55.44,influenza
1953,10110.0,68.22,influenza
1954,2498.0,16.8,influenza
1955,38438.0,263.67,influenza
1956,11166.0,79.94,influenza
1957,255292.0,1767.83,influenza
1958,7206.0,79.69,influenza
1959,,,influenza
1960,,,influenza
1961,,,influenza
1962,,,influenza
1963,,,influenza
1964,,,influenza
1965,,,influenza
1966,,,influenza
1967,,,influenza
1968,,,influenza
1969,,,influenza
1970,,,influenza
1971,,,influenza
1972,,,influenza
1973,,,influenza
1974,,,influenza
1975,,,influenza
1976,,,influenza
1977,,,influenza
1978,,,influenza
1979,,,influenza
1980,,,influenza
1981,,,influenza
1982,,,influenza
1983,,,influenza
1984,,,influenza
1985,,,influenza
1986,,,influenza
1987,,,influenza
1988,,,influenza
1989,,,influenza
1990,,,influenza
1991,,,influenza
1992,,,influenza
1993,,,influenza
1994,,,influenza
1995,,,influenza
1996,,,influenza
1997,,,influenza
1998,,,influenza
1999,,,influenza
2000,,,influenza
2001,,,influenza
2002,,,influenza
2003,,,influenza
2004,,,influenza
2005,,,influenza
2006,,,influenza
2007,,,influenza
2008,,,influenza
2009,,,influenza
2010,,,influenza
2011,,,influenza
2012,,,influenza
2013,,,influenza
2014,,,influenza
2015,,,influenza
2016,,,influenza
2017,,,influenza
2018,,,influenza
2019,,,influenza
2020,,,influenza
2021,,,influenza
2022,,,influenza
2023,,,influenza
