window_end_date,disease,province,split,forecast_start,forecast_end
1924-12-21,influenza,CA-ON,train,1924-12-28,1925-02-15
1924-12-28,influenza,CA-ON,train,1925-01-04,1925-02-22
1925-01-04,influenza,CA-ON,train,1925-01-11,1925-03-01
1925-01-11,influenza,CA-ON,train,1925-01-18,1925-03-08
1925-01-18,influenza,CA-ON,train,1925-01-25,1925-03-15
1925-01-25,influenza,CA-ON,train,1925-02-01,1925-03-22
1925-02-01,influenza,CA-ON,train,1925-02-08,1925-03-29
1925-02-08,influenza,CA-ON,train,1925-02-15,1925-04-05
1925-02-15,influenza,CA-ON,train,1925-02-22,1925-04-12
1925-02-22,influenza,CA-ON,train,1925-03-01,1925-04-19
1925-03-01,influenza,CA-ON,train,1925-03-08,1925-04-26
1925-03-08,influenza,CA-ON,train,1925-03-15,1925-05-03
1925-03-15,influenza,CA-ON,train,1925-03-22,1925-05-10
1925-03-22,influenza,CA-ON,train,1925-03-29,1925-05-17
1925-03-29,influenza,CA-ON,train,1925-04-05,1925-05-24
1925-04-05,influenza,CA-ON,train,1925-04-12,1925-05-31
1925-04-12,influenza,CA-ON,train,1925-04-19,1925-06-07
1925-04-19,influenza,CA-ON,train,1925-04-26,1925-06-14
1925-04-26,influenza,CA-ON,train,1925-05-03,1925-06-21
1925-05-03,influenza,CA-ON,train,1925-05-10,1925-06-28
1925-05-10,influenza,CA-ON,train,1925-05-17,1925-07-05
1925-05-17,influenza,CA-ON,train,1925-05-24,1925-07-12
1925-05-24,influenza,CA-ON,train,1925-05-31,1925-07-19
1925-05-31,influenza,CA-ON,train,1925-06-07,1925-07-26
1925-06-07,influenza,CA-ON,train,1925-06-14,1925-08-02
1925-06-14,influenza,CA-ON,train,1925-06-21,1925-08-09
1925-06-21,influenza,CA-ON,train,1925-06-28,1925-08-16
1925-06-28,influenza,CA-ON,train,1925-07-05,1925-08-23
1925-07-05,influenza,CA-ON,train,1925-07-12,1925-08-30
1925-07-12,influenza,CA-ON,train,1925-07-19,1925-09-06
1925-07-19,influenza,CA-ON,train,1925-07-26,1925-09-13
1925-07-26,influenza,CA-ON,train,1925-08-02,1925-09-20
1925-08-02,influenza,CA-ON,train,1925-08-09,1925-09-27
1925-08-09,influenza,CA-ON,train,1925-08-16,1925-10-04
1925-08-16,influenza,CA-ON,train,1925-08-23,1925-10-11
