"Year","Disease","Number of reported cases","Rate per 100,000"
"1924","Influenza, Laboratory Confirmed",,
"1925","Influenza, Laboratory Confirmed",,
"1926","Influenza, Laboratory Confirmed",,
"1927","Influenza, Laboratory Confirmed",,
"1928","Influenza, Laboratory Confirmed",,
"1929","Influenza, Laboratory Confirmed",,
"1930","Influenza, Laboratory Confirmed",,
"1931","Influenza, Laboratory Confirmed",,
"1932","Influenza, Laboratory Confirmed",,
"1933","Influenza, Laboratory Confirmed",,
"1934","Influenza, Laboratory Confirmed",,
"1935","Influenza, Laboratory Confirmed",,
"1936","Influenza, Laboratory Confirmed",,
"1937","Influenza, Laboratory Confirmed",,
"1938","Influenza, Laboratory Confirmed",,
"1939","Influenza, Laboratory Confirmed",,
"1940","Influenza, Laboratory Confirmed",,
"1941","Influenza, Laboratory Confirmed",,
"1942","Influenza, Laboratory Confirmed",,
"1943","Influenza, Laboratory Confirmed",,
"1944","Influenza, Laboratory Confirmed",,
"1945","Influenza, Laboratory Confirmed",,
"1946","Influenza, Laboratory Confirmed",,
"1947","Influenza, Laboratory Confirmed",,
"1948","Influenza, Laboratory Confirmed",,
"1949","Influenza, Laboratory Confirmed",,
"1950","Influenza, Laboratory Confirmed",,
"1951","Influenza, Laboratory Confirmed",,
"1952","Influenza, Laboratory Confirmed",,
"1953","Influenza, Laboratory Confirmed",,
"1954","Influenza, Laboratory Confirmed",,
"1955","Influenza, Laboratory Confirmed",,
"1956","Influenza, Laboratory Confirmed",,
"1957","Influenza, Laboratory Confirmed",,
"1958","Influenza, Laboratory Confirmed",,
"1959","Influenza, Laboratory Confirmed",,
"1960","Influenza, Laboratory Confirmed",,
"1961","Influenza, Laboratory Confirmed",,
"1962","Influenza, Laboratory Confirmed",,
"1963","Influenza, Laboratory Confirmed",,
"1964","Influenza, Laboratory Confirmed",,
"1965","Influenza, Laboratory Confirmed",,
"1966","Influenza, Laboratory Confirmed",,
"1967","Influenza, Laboratory Confirmed",,
"1968","Influenza, Laboratory Confirmed",,
"1969","Influenza, Laboratory Confirmed",,
"1970","Influenza, Laboratory Confirmed",,
"1971","Influenza, Laboratory Confirmed",,
"1972","Influenza, Laboratory Confirmed",,
"1973","Influenza, Laboratory Confirmed",,
"1974","Influenza, Laboratory Confirmed",,
"1975","Influenza, Laboratory Confirmed",,
"1976","Influenza, Laboratory Confirmed",,
"1977","Influenza, Laboratory Confirmed",,
"1978","Influenza, Laboratory Confirmed",,
"1979","Influenza, Laboratory Confirmed",,
"1980","Influenza, Laboratory Confirmed",,
"1981","Influenza, Laboratory Confirmed",,
"1982","Influenza, Laboratory Confirmed",,
"1983","Influenza, Laboratory Confirmed",,
"1984","Influenza, Laboratory Confirmed",,
"1985","Influenza, Laboratory Confirmed",,
"1986","Influenza, Laboratory Confirmed",,
"1987","Influenza, Laboratory Confirmed",,
"1988","Influenza, Laboratory Confirmed",,
"1989","Influenza, Laboratory Confirmed",,
"1990","Influenza, Laboratory Confirmed",,
"1991","Influenza, Laboratory Confirmed",,
"1992","Influenza, Laboratory Confirmed",,
"1993","Influenza, Laboratory Confirmed",,
"1994","Influenza, Laboratory Confirmed",,
"1995","Influenza, Laboratory Confirmed",,
"1996","Influenza, Laboratory Confirmed",,
"1997","Influenza, Laboratory Confirmed",,
"1998","Influenza, Laboratory Confirmed",,
"1999","Influenza, Laboratory Confirmed",,
"2000","Influenza, Laboratory Confirmed",,
"2001","Influenza, Laboratory Confirmed",,
"2002","Influenza, Laboratory Confirmed",,
"2003","Influenza, Laboratory Confirmed",,
"2004","Influenza, Laboratory Confirmed",,
"2005","Influenza, Laboratory Confirmed",,
"2006","Influenza, Laboratory Confirmed",,
"2007","Influenza, Laboratory Confirmed",,
"2008","Influenza, Laboratory Confirmed",,
"2009","Influenza, Laboratory Confirmed",,
"2010","Influenza, Laboratory Confirmed",,
"2011","Influenza, Laboratory Confirmed",,
"2012","Influenza, Laboratory Confirmed",,
"2013","Influenza, Laboratory Confirmed",,
"2014","Influenza, Laboratory Confirmed",,
"2015","Influenza, Laboratory Confirmed",,
"2016","Influenza, Laboratory Confirmed",,
"2017","Influenza, Laboratory Confirmed",,
"2018","Influenza, Laboratory Confirmed",,
"2019","Influenza, Laboratory Confirmed",,
"2020","Influenza, Laboratory Confirmed",,
"2021","Influenza, Laboratory Confirmed",,
"2022","Influenza, Laboratory Confirmed",,
"2023","Influenza, Laboratory Confirmed",,
"1924","Measles",39216,433.57
"1925","Measles",22777,247.68
"1926","Measles",39429,421.61
"1927","Measles",28150,295.17
"1928","Measles",27733,284.91
"1929","Measles",42132,420.65
"1930","Measles",21606,211.93
"1931","Measles",25664,247.65
"1932","Measles",53508,509.79
"1933","Measles",13471,126.86
"1934","Measles",29115,271.42
"1935","Measles",83127,767.63
"1936","Measles",55724,509.64
"1937","Measles",57408,520.52
"1938","Measles",26328,236.42
"1939","Measles",44476,395.34
"1940","Measles",45851,403.48
"1941","Measles",81051,705.42
"1942","Measles",26258,225.64
"1943","Measles",60485,513.54
"1944","Measles",55317,463.72
"1945","Measles",26978,223.79
"1946","Measles",67528,550.44
"1947","Measles",39455,314.96
"1948","Measles",66004,515.7
"1949","Measles",58511,435.9
"1950","Measles",55653,406.58
"1951","Measles",61370,438.85
"1952","Measles",56178,389.21
"1953","Measles",57871,390.49
"1954","Measles",36850,241.48
"1955","Measles",56922,363.28
"1956","Measles",53986,348.14
"1957","Measles",49712,330.31
"1958","Measles",35531,229.26
"1959","Measles",,
"1960","Measles",,
"1961","Measles",,
"1962","Measles",,
"1963","Measles",,
"1964","Measles",,
"1965","Measles",,
"1966","Measles",,
"1967","Measles",,
"1968","Measles",,
"1969","Measles",11720,64.39
"1970","Measles",25137,136.38
"1971","Measles",7439,34.05
"1972","Measles",3136,14.11
"1973","Measles",10911,48.76
"1974","Measles",11985,52.82
"1975","Measles",13143,57.08
"1976","Measles",9158,39.25
"1977","Measles",8832,37.41
"1978","Measles",5858,24.57
"1979","Measles",22444,92.74
"1980","Measles",13864,56.55
"1981","Measles",2307,9.29
"1982","Measles",1064,4.24
"1983","Measles",934,3.68
"1984","Measles",4086,15.96
"1985","Measles",2899,11.22
"1986","Measles",15796,60.82
"1987","Measles",3065,11.65
"1988","Measles",710,2.66
"1989","Measles",21523,78.91
"1990","Measles",1738,6.28
