hidden_size,num_layers,dropout,learning_rate,val_huber,best_epoch
256,2,0.3,0.001,0.018813713872445702,6
256,1,0.3,0.001,0.019017269145620488,6
128,1,0.1,0.001,0.019327598733156006,5
256,2,0.3,0.0003,0.019338485875704522,16
64,1,0.3,0.0003,0.01940320927292184,21
64,2,0.3,0.001,0.01940723847638998,8
128,1,0.3,0.001,0.01943233377559069,11
64,1,0.3,0.001,0.019467071303874612,7
128,2,0.3,0.001,0.019469307501863833,7
128,2,0.1,0.001,0.019470465785840625,8
128,2,0.3,0.0003,0.019591078980819892,23
256,1,0.1,0.0003,0.019610710797511057,15
256,2,0.1,0.001,0.019624420786345888,12
128,1,0.3,0.0003,0.019630124767970977,17
256,1,0.1,0.001,0.01966235946118286,5
256,1,0.3,0.0003,0.019723792364389394,10
64,1,0.1,0.001,0.019795966550734595,9
256,2,0.1,0.0003,0.019817565805085313,13
64,1,0.1,0.0003,0.02017535284918825,18
128,2,0.1,0.0003,0.02036726012386092,11
128,1,0.1,0.0003,0.020451035555868673,12
64,2,0.1,0.001,0.020589677167161743,8
64,2,0.3,0.0003,0.02060010057677643,31
64,2,0.1,0.0003,0.020881669139350675,14
